topic,text,n_words
Проблема мужества,"Мужество людей, проявленное в экстремальной ситуации, - вот проблема, над которой рассуждает Вячеслав Дёгтев в рассказе “Крест”.

Нравственный вопрос, поднимаемый автором, относится к категории вечных. Ещё Аристотель писал: «Мужественным называется тот, кто безбоязненно идёт навстречу прекрасной смерти».

Вячеслав Дёгтев, изображая осуждённых священнослужителей, закрытых в трюмы затопляемого корабля, показывает, что вначале они начинают кричать. Но мощный бас одного из монахов призвал их в этот смертельный час сплотиться в молитве. И тогда эти мужественные люди запели. По словам автора «…тюрьма превратилась в храм…». «Сливаясь, голоса звучали так мощно и так слаженно, что аж дрожала, вибрировала палуба. Всю страсть и любовь к жизни, всю веру в Высшую Справедливость вложили монахи в последний свой псалом». В. Дёгтев, на мой взгляд, гордится мужеством и волей этих людей.

Я разделяю позицию автора.

Как эти священнослужители православной церкви напоминают мне великого старообрядца протопопа Аввакума, который за свою веру мужественно принял мученическую прекрасную смерть.

В “Комсомольской правде” недавно прочёл рассказ об участнике афганской войны Сергее Пёрышкине. Захваченный в плен душманами, он отказался принять мусульманскую веру, остался христианином, за что и был казнен.

Таким образом, могу сделать вывод, что человек мужественный верен своему Слову, Делу, Вере даже перед лицом смерти!

",183
Проблема простоты и скромности,"Автор с негодованием повествует о том, что эти качества часто принимают за слабость и нерешительность. И только опыт, считает Д. С. Лихачев, может доказать людям, что простота и скромность – это не слабость и нерешительность, а проявление силы характера. Именно эти качества, считает автор, являются достоинствами человека, главным условием моральной красоты.

Трудно не согласиться с этим замечательным человеком!

Вспомним, например, героиню романа Л.Н.Толстого «Война и мир» княжну Марью Болконскую. Эта девушка была воспитана в строгости, в атмосфере абсолютного порядка, её жизнь не отличалась роскошью и беззаботностью. Однако именно это повлияло на развитие её духовных качеств и внутренней силы, которые помогли княжне Марье, женщине простой и скромной, справиться со многими жизненными неурядицами и найти свое счастье.

Ещё одним ярким примером является судьба четырёхкратного чемпиона по спортивной гимнастике Алексея Немова. Во время афинской Олимпиады он не получил своего заветного пятого «золота», предательски не получил! Но Немов получил то, что дороже любого золота: восхищение болельщиков – восхищение высшей пробы мастерством спортивным и достоинствами человеческими – скромностью и простотой!",162
Проблема самовоспитания,"«Человек делает себя таким, каким он хочет быть», - вот проблема, над которой размышляет Л.Серова, тем самым рассматривая вопрос самообразования и самовоспитания.

Этому вопросу уделяли внимание видные русские писатели, философы, педагоги. Н.А.Рубакин, библиограф и писатель, писал: «Без собственных усилий никто никогда своей цели не добивается». Поставленная автором текста общественно значимая проблема актуальна и сегодня: часто можно услышать теледебаты известных людей о том, может ли человек сам себе «сделать биографию».
 Автор эссе Л.Серова, приводя известные многим примеры из жизни М.В.Ломоносова, Д.И.Менделеева, И.А.Бунина, убеждает нас, читателей, в том, что человек «сам делает себя таким, каким он хочет быть».

Я разделяю точку зрения автора: от каждого из нас зависит, поднимемся ли мы «до высот знания и профессионального мастерства», как М.В.Ломоносов, или растратим свой талант на мелкие «безделушки», не добившись ничего в жизни.

В доказательство приведу пример жизни известного русского писателя Максима Горького. Он закончил всего один класс школы, а стал всемирно известным писателем.

Вспомним известного фотокорреспондента, писателя Василия Пескова, которому недавно исполнилось 80 лет. Он закончил в военные годы всего 9 классов, а как многого добился! Василий Михайлович Песков – лауреат Ленинской премии, премии Президента России, награжден пятью советскими орденами и российскими наградами. Он получил « Золотое перо России», ему присуждены почетные премии имени М. Кольцова, имени М. Пришвина. Можно сделать вывод, что В.М.Песков сам себе «сделал биографию».

Или пример другого плана. Лет пять назад нашу школу закончил юноша, которому все предсказывали блестящее будущее. Увы, предсказания не сбылись: московский университет, престижная профессия, интересная работа не стали уделом молодого человека. Отсутствие маминого попечительства, неумение добиваться поставленной цели сделали свое дело: «мотается» по Москве мой земляк в качестве таксиста, перебивается случайными заработками, и все потому, что не смог сделать себя таким, каким мечтал...",273
Проблема уникальности каждого человека,"Индивидуальность человека, его уникальность и непохожесть на других людей - вот проблема, над которой рассуждает автор.

Этому психологическому вопросу уделяли и уделяют внимание философы и психологи, писатели и педагоги. Самой яркой книгой, помогающей человеку познать собственное «я», считается произведение Дейла Карнеги «Как завоевать друзей». Она очень популярна и в наши дни, так как многим людям хочется разобраться в себе.

Ю. Лотман считает, что каждый человек индивидуален, «он один такой, и другого такого же нет». По мнению автора, мой современник не понимает этого, у него « закрыты глаза и уши»: он слышит и видит только себя.

Я разделяю точку зрения автора.

Действительно, ярко индивидуальны и герои А. С. Пушкина Татьяна Ларина и Евгений Онегин, и мои любимые персонажи романа Л. Толстого «Война и мир» Наташа Ростова и Андрей Болконский. Их ни с кем не спутаешь!

Но я не согласна с точкой зрения Юрия Лотмана в том, что у нас, молодых людей, «закрыты глаза и уши». Неправда! Мы «не глухие» и «не слепые»! Я, например, пытаюсь разобраться в себе, читаю специальную литературу. Моей любимой книгой является труд психолога Николая Козлова «Как относиться к себе и людям, или практическая психология на каждый день». Думаю, что название произведения говорит за себя…

Таким образом, могу сделать вывод, что каждый человек уникален сам по себе. На память приходят великолепные слова В. А. Жуковского:

При мысли великой, что я человек,

Всегда возвышаюсь душою…",218
Современно ли быть сегодня честным?,"Автор с сожалением пишет о том, что  отношения в современном обществе основаны на взаимной выгоде, а нравственные принципы и устои, к которым и относится  честь, не соответствуют сегодняшнему  устройству  мира. Быть добрыми, мягкими и честными, значит, быть «беспомощными белыми воронами среди ястребов, которые обладают крепкой хваткой и деловым коварством».

Не каждый решается сегодня быть честным, считает Ф. Соколова. «Гордость и чистота делают человеку честь,-уверена она.- Но если попробовать на вкус, горчит зачастую эта честь».

Трудно не согласиться с мнение автора. Действительно, сегодня понятие чести утратило свою ценность в обществе. 

Так,  познакомившись в Интернете с учебным проектом «Береги честь смолоду», сделала вывод: понятие чести в современном гражданском праве реально не существует. Неуклонно умирают осколки традиций, связанных с обретением или сохранением чести. Общество непрестанно движется к состоянию, когда оно полностью будет состоять из людей без чести. Вот такой вывод, поразивший меня, сделали авторы этого проекта.

Однако в жизни  всё обстоит не так уж и плохо. В наши дни понятие чести все же не совсем забыто. Вспомним, к примеру, о подвиге роты псковских десантников, которые ценой собственной жизни остановили несколько тысяч озлобленных членов бандитского формирования. Для этих людей честь солдата и командира была превыше всего!

Таким образом, могу сделать вывод о том, что, к сожалению, сегодня быть честным не современно, но, несмотря на это, всё же есть среди нас те, для кого честь – это не пустой звук.

",219
Что такое благородство?,"Автор, размышляя над этим вечным вопросом, высказывает уверенность в том, что «в основе благородства прежде всего лежит высокое понимание чести и долга». Ю. Цетлин в подтверждение своей позиции приводит яркий пример поистине благородного человека – Дон Кихота. Через образ всем известного литературного героя автор статьи показывает, что желание бороться со злом и несправедливостью есть фундамент истинного благородства, та основа, на которой строится Личность. 
Ю. Цетлин считает, что подлинное благородство – это « нетерпимость ко злу и несправедливости», самоотверженное стремление помогать всем слабым и угнетённым, чистая вера в свои идеалы и несгибаемая воля…
Я полностью согласна с мнением автора: благородного человека отличает искренняя любовь к людям, желание помогать им, способность сочувствовать, сопереживать.
Не все со мною согласятся, но считаю истинно благородным человеком героя романа И. С.Тургенева «Отцы и дети» Евгения Базарова, которого отличали несгибаемая сила воли, желание помогать бедным людям. А как благороден Базаров, осознавший, что его любовь, чистая и глубокая, отвергнута!
Или Андрей Болконский, герой романа-эпопеи «Война и мир» Л. Н. Толстого наделен не только внешним, но и внутренним благородством. Ему пришлось многое пережить, многое переосмыслить, прежде чем он смог изменить отношение к своему недругу Анатолю Курагину, интригану и предателю, к которому князь испытывал лишь ненависть. Но, увидев несчастного красавца на операционном столе, узнав в этом громко кричавшем человеке, только что потерявшем ногу, Курагина, князь Андрей прощает его…
Таким образом, могу сделать вывод, что благородство отличало и отличает очень многих людей, которые девизом своей жизни могли бы взять слова поэта: «Совесть, Благородство и Достоинство – вот оно, мое святое воинство!»
",245
Эгоизм – страшная болезнь человечества.,"Что такое эгоизм – вот проблема, над которой рассуждает Али Апшерони.

 В своем эссе автор с негодованием говорит о том, что в обществе распространилась страшная болезнь – «себялюбие». Ради достижения своей цели некоторые люди готовы совершить даже  такой страшный грех, как убийство. «Много веков,- говорит автор,- потребовалось людям, чтобы хотя бы на словах признать, что жизнь другого человека имеет ту же ценность, что и их собственная жизнь».

Писатель считает, что эгоизм – тяжкий людской порок, и не воспринимает тех людей, которые заботятся  только о себе. Он уверен, что эгоизм следует преодолевать.

Трудно не согласиться с мнением автора. Я думаю, что эгоизм - это поведение, целиком определяемое мыслью о собственной пользе, выгоде, когда индивид ставит свои интересы выше интересов других. А это неправильно!

Вспомним Григория Печорина, героя романа М. Ю. Лермонтова «Герой нашего времени», характер которого сложен и противоречив. Он говорит о себе: «Во мне два человека: один живет в полном смысле этого слова, другой мыслит и судит его…» Печорин в вихрях света  научился быть скрытным, злопамятным, желчным, честолюбивым, сделался, по его словам, «нравственным калекой», эгоистом. Еще пушкинского Онегина Белинский называл «страдающим эгоистом» и «эгоистом поневоле». То же самое можно сказать и о Печорине, герое 19-го века. 

Но эгоизм живет и в наши дни. 21 век – век не страдающих, а потребляющих эгоистов! (Социологи недавно ввели данный термин). Оказывается, эта черта свойственна даже маленьким детям. В статье психолога Ольги Фроловой «Как искоренить эгоизм» нахожу советы, как предотвратить развитие эгоизма у малышей и подростков. По ее мнению,  в данном случае « в решающей степени все зависит от умелого учёта родителями и педагогами индивидуальных особенностей ребёнка, включения его в гармоничные отношения со взрослыми и сверстниками».

Таким образом, могу сделать вывод, что эгоизм – это тяжкий людской порок и с ним необходимо бороться.",285
Проблема ханжества в современном обществе,"Проблема ханжества в современном обществе - вот вопрос, над которым размышляет И. К. Серков. 

 Писатель считает, что человек-ханжа как в средние века, так и в современном обществе под красивыми, благими словами, пытается скрыть свой характер и свои дела. 

И. К. Серков уверен, что ханжество – человеческий порок, отличающийся недоверием к окружающим, подозрительностью, стремлением манипулировать другими людьми. 

Я полностью разделяю точку зрения автора в том, что ханжество, «лишенное романтики и таинств», «в душе весь мир нулем считает», а «единицей чувствует себя…».

Ханжи и пустосвяты часто появлялись на страницах литературных произведений, таких как «Декамерон» Боккаччо, «Гаргантюа и Пантагрюэль» Рабле, «Тартюф» Мольера, «Жизнь» Мопассана, ""Дождь"" Моэма в западной литературе, стихах Хайяма и Руми — в восточной.

Яркие строки о ханжестве нахожу в стихотворении А. Дементьева:

О, как они расчетливы, канальи!

И как коварны в помыслах своих!

И сколько душ великих доконали

За то, что те талантливее их.

Таким образом, могу сделать вывод, что ханжество – это человеческий порок, с которым необходимо бороться.",153
Что такое совесть?,"Автор поднимает в своей статье нравственную проблему совести. Размышляя о том, что такое «поступок по совести», Д.А.Гранин вспоминает похороны известного писателя-сатирика М.Зощенко, которого советское правительство подвергало травле как при жизни, так и на похоронах, где все совершалось не по- христиански, без души, под строгим оком КГБ. Автор был восхищён поступком пожилого писателя Леонида Борисова, который не смог справиться с собой, с чувством, которое прорвалось наружу вместе с взбунтовавшейся совестью. Он, громко рыдая, попросил у мертвого Зощенко прощения за то, что при жизни «не защитили» его. С горечью автор констатирует, что не все люди способны на такой поступок и призывает нас, читателей, жить по совести. 

Авторскую позицию определить не сложно: совесть - это черта духовного облика человека, выражающая его способность к внутренней оценке своего поведения, своих чувств, а также поведения других людей, это внутренний судья человека.

С мнением Д.Гранина трудно не согласиться. Я считаю, что совесть - это наш внутренний судья, который не даёт нам совершать плохие поступки и заставляет думать и осмысливать своё поведение. Прислушиваясь к ней, мы будет идти по правильному пути, развиваться, совершенствоваться нравственно. 

О чувстве пробудившейся совести рассказал писатель К. Акулинин в одном из своих эссе. Однажды он, измучившись в очереди к врачу, заплатив медсестре, решил свою проблему, но перед тем, как зайти в кабинет, натолкнулся на взгляд больного ребенка. Доверчивые глаза малыша пробудили совесть в душе героя, и он понял, что нечестно решать свои проблемы за счёт других людей.

Известный учёный, публицист Д. Лихачёв  в «Письмах о добром и прекрасном» писал, что жить нужно « интуитивно «по велению совести», не задумываясь находить всегда правильные решения, не заглядывая в книжки», что нельзя позволять себе идти на компромисс с совестью, пытаться найти оправдание лжи, воровству. И тогда тебе никогда не будет стыдно за свои поступки.

Таким образом, могу сделать вывод, что совесть – это чувство нравственной ответственности за свое поведение перед окружающими людьми.",302
Проблема предательства,"М.Г.Худяков в тексте размышляет над проблемой предательства.

 Повествование основано на конкретном случае из жизни. Двое мальчишек  отправились  на рыбалку, и один из них поранил ногу. Сергей восемь километров тащил друга на спине. В те минуты обостренного братства раненый признался Сереге о самом сокровенном: о своей  любви к однокласснице. На этом повествование о благородстве и мужской дружбе в рассказе заканчивается, потому что на другой день Сергей предает друга, рассказывая всем о его чувстве к девочке. Рассказчик задается вопросом: подвиг или предательство совершил юноша? Скорее, предательство, которое на десятки лет осталось кровоточащей раной в сердце друга. 

Точку зрения М.Г. Худякова определить легко: Сергей по отношению к другу совершил предательство. И этот его поступок затмевает героизм подростка. 

Я полностью разделяю точку зрения автора: юноша нарушил верность по отношению к другу. Да, он спас его на рыбалке, а потом просто так, ради забавы, предал его. Проблема эта не раз поднималась в русской литературе.

Вспомним повесть Василя Быкова «Сотников», где рассказывается о том, как партизан Рыбак предал своего товарища Сотникова. Духовная глухота не позволяет предателю понять глубины падения. Только в конце повести он с непоправимым опозданием осознает, что в некоторых случаях выжить не лучше, чем умереть. 

Одним из главных персонажей романа Аркадия Васильева «В час дня, ваше превосходительство» является генерал-лейтенант А.А.Власов. Из-за просчетов высшего командования СССР  его армия была окружена, сам генерал пленен. Именно в плену он, боевой офицер, совершает предательство,  согласившись возглавить  Русскую освободительную армию, созданную вермахтом для борьбы с советской армией. На десятилетия имя Власова  стало синонимом предательства.

 Таким образом, могу сделать вывод, что предательство – это низкий поступок человека, осуждаемый и в обществе, и в литературе еще с библейских времен.",267
О двуличии и малодушии,"Автор размышляет над поставленным вопросом на  примере эпизода из жизни главного героя, который, вспоминая встречу с профессором, не выдающимся ни  умом, ни талантом, но делающим стремительную карьеру, винит себя в подобострастии, в том, что поддался искушению говорить «приятно-льстивые фразы», «улыбаться сахарнейшей улыбкой». Обращая внимание читателей на раскаяние ученого в подобном поведении, прозаик выражает негативное отношение к людям, способным ""притворяться, льстить, малодушничать"".

Позицию Ю.В.Бондарева определить не сложно: двуличие и малодушие недопустимы в отношениях между людьми, потому что они унижают человеческое достоинство.

Я полностью согласна с писателем в том, что человеческие отношения не могут и не должны строиться на заискивании и лести, чертах характера, разрушающих личность.

Об этом же говорил и А.С.Грибоедов в комедии «Горе от ума». Для его героя Чацкого притворство и ложь недопустимы, особенно в отношениях с теми людьми, кто имеет высокое положение в обществе. «Служить бы рад – прислуживаться тошно!» - заявляет он. Напротив, Молчалин, следуя совету отца, готов прислуживать и льстить всем нужным людям ради достижения личных целей.

Вспомним также рассказ А.П.Чехова «Толстый и тонкий», где рассказывается о встрече школьных друзей. Узнав о том, что его приятель дослужился до высокого ранга, ""тонкий"" начинает заискивать перед Михаилом, называя его «вашим превосходительством». Хотя ""толстый"" призывает школьного друга прекратить унижаться, для ""тонкого"" норма поведения - льстить тем, кто выше его по должности.

Таким образом, всё вышесказанное позволяет сделать вывод, что лесть и малодушие, заискивание и двуличие унижают достоинство человека.",223
Быть или казаться?,"Автор рассказывает нам о случае из своей жизни, когда он был молодым преподавателем, стесняющимся своих учеников, боевых офицеров. Он боялся, что его, выпускника института иностранных языков, выглядевшего очень молодо,  не воспримут всерьез люди, познавшие, что такое война. Но С.Львов, преодолев стеснение, принял правильное решение: показать своим слушателям, что он знает и умеет. И вот когда он заговорил по-немецки, сделал блестяще перевод указанного офицерами текста,  все  позабыли о его  неприличной молодости, потому что были покорены  блестящими знаниями  преподавателя немецкого языка.

Авторскую позицию определить не сложно: если ты чего-то стоишь, что-то знаешь, то тебе не трудно доказать это. А люди всегда оценят не твой внешний вид, а истинные знания и умения, талант и дарование.

Я согласна с мнением С.Львова:  каждый  бывал в трудной ситуации, когда проблема «быть или казаться» вставала перед ним… И от того, как  вел ты себя в тот период, зависело мнение людей о тебе.

На сайте Интернета «Жемчужины мыслей» нашла яркие поэтические строки неизвестного поэта по поставленной проблеме:

Кто может просто быть, лишь БЫТЬ, а не казаться, 

Не будет никого учить и просвещать… 

Ну, может быть, научит лишь прощать… 

Нельзя кого — то научить духовному богатству.

Стихотворение как нельзя лучше характеризует суть вопроса: «быть» может только тот, кто обладает богатством души, талантом, огромным запасом знаний.

А вот человек, не имеющий ничего этого, может только «казаться»! Сейчас проводится много различных телевизионных конкурсов. Со всех экранов мы ежедневно слышим в адрес  не состоявшихся ещё певцов: ""ЗВЕЗДА"", ""МЕГА-ЗВЕЗДА"", ""ЗОЛОТОЙ ГОЛОС РОССИИ"", ""ПОБЕДИТЕЛЬ всяческих конкурсов». И это подхватывается орущей толпой поклонников. Но ведь одно- два удачных выступления – это еще не артист. Это только начало, которое может привести конкурсанта на большую сцену, и он там  «будет»! А не «покажется»! 

Таким образом, могу сделать вывод: от самого человека зависит, состоится он в жизни или нет.",285
"В чем ""кроется... сердцевина счастья""","Автор повествует о том, как, пролежав на спине в госпитале почти полгода, был  весел, несмотря на боли в ноге. А все потому, что ""дух ...был здоров"". Драматург уверен:  каждый из нас жаждет счастья, которое не всегда заключается в здоровье или материальном благополучии. По его глубокому убеждению, ключ к счастью кроется в устройстве нашего внутреннего мира.

Позицию В. С. Розова понять довольно просто: счастье каждого человека заключается именно в гармонии его личности.

Я  полностью разделяю точку зрения автора. Действительно, счастливы те люди, которые живут в согласии со своей душой. Об этом свидетельствуют примеры из классической литературы.

Вспоминаю героя романа Ф. М. Достоевского ""Преступление и наказание"" Родиона Раскольникова, который на протяжении почти всего произведения находится в конфликте с самим собой. Персонаж страдает с тех самых пор, как ужасная, антигуманная теория, понятная только его разуму, но не принятая  его душой, овладела  рассудком человека, по словам Д. И. Писарева, ""приговоренного к убийству"". Счастливым он станет только на каторге, где , казалось бы,""внешние условия существования""отвратительны. И счастьем этим будет освобождение от губительной идеи, обретение душевной гармонии.

Пьер Безухов, герой романа Л. Н. Толстого ""Война и мир"", обретает внутреннее равновесие и становится счастливым лишь в  плену, когда он знакомится с Платоном Каратаевым, у которого учится жить в ладу со своей душой. Голодный и босой,  Пьер спокойно наблюдает за естественным процессом жизни, любуется природой и радуется новому гармоническому устройству своей души.

Таким образом, могу сделать вывод, что ""сердцевина счастья"" кроется не в здоровье и материальном благополучии, а в гармонии личности, душевном равновесии человека.",241
В чем заключается предназначение человека?,"Рассуждая над этой проблемой, автор обращает  внимание на то, как важно для каждого из нас искать свой жизненный путь, «думать и решать самостоятельно», а не поступать только так, как требуют общественные «практические предписания». С восхищением  говорит он о людях, которые «пытаются докопаться до всех первопричин сами». «Труды и мучения» человека, желающего найти смысл жизни, по мнению М. Веллера, не напрасны, и тот, кто, действительно, мудр, может быть уверен: у каждого из нас свое предназначение.

Определить позицию автора довольно просто. Люди должны делать то, на что способны: «Кому полмира покорить, кому сад посадить, кому детей понять». У каждого свой жизненный путь.

Я полностью разделяю точку зрения М. Веллера. Действительно, предназначение человека — сделать то, что ему под силу. Вот почему у каждого оно разное. Об этом не раз писали русские классики.

Вспоминаю главных героев романа И. А. Гончарова «Обломов» Илью Обломова и Андрея Штольца, судьбы которых являются доказательством того, что у каждого человека свое особое предназначение — совершить большее, на что он способен. Так, если Илья Обломов, барин до мозга костей, может только есть и спать, и его удел — недолгая, безмятежная, ленивая жизнь, полная бессмысленных дум и мечтаний. Что стало результатом такого жалкого существования? Засаленный халат и вмятина на диване! В этом, видимо, и заключалось его жизненное предназначение. Однако судьба Андрея Штольца, трудолюбивого и предприимчивого, явно способного на большее, чем его друг, сложилась совершенно иначе. Он женился на прекрасной женщине, стал богатым и известным человеком. И неудивительно: ведь «большому кораблю — большое плавание»!

О том, что у каждого из нас свое предназначение , свидетельствует и теория Родиона Раскольникова, пусть негуманная, но в чем-то, на мой взгляд, верная (роман Ф. М. Достоевского «Преступление и наказание»). Идея главного героя произведения заключается в том, что люди делятся на  «слабых», удел которых — жить и довольствоваться маленькими достижениями, и «сильных» - тех, кто должен покорять мир, менять его к лучшему, жить на благо общества. Как жаль, что Родион Раскольников запутался в своих философствованиях, решив, что великий человек имеет право ради высокой цели «допустить кровь по совести»!

Таким образом, могу сделать вывод: каждый человек имеет свое особое предназначение, зависящее от того, на что способен.

",342
